% x_um y_um sigma_s_m k_w_mk
260 4.96901271429 52743.3113658 36.2273199153
265 4.96901271429 36124.6395012 35.9406204231
270 4.96901271429 25156.7739235 34.8974059462
275 4.96901271429 24570.4851986 33.6929196183
280 4.96901271429 37664.2574994 32.9769802195
285 4.96901271429 65888.118065 33.0522651623
290 4.96901271429 100000 33.8264845453
295 4.96901271429 100000 35.0771422005
300 4.96901271429 100000 36.699751357
305 4.96901271429 100000 38.7329614021
310 4.96901271429 100000 41.2116183378
315 4.96901271429 100000 44.0026863956
320 4.96901271429 100000 46.7346210023
325 4.96901271429 100000 48.8666896861
330 4.96901271429 100000 49.8944965587
335 4.96901271429 100000 49.5978301398
340 4.96901271429 100000 48.1627892402
345 4.96901271429 100000 46.0892748915
350 4.96901271429 100000 43.9677544383
355 4.96901271429 100000 42.2724117804
360 4.96901271429 100000 41.2364223925
365 4.96901271429 100000 40.7830427686
370 4.96901271429 100000 40.4961513383
375 4.96901271429 100000 39.7132268565
380 4.96901271429 100000 37.8321438206
385 4.96901271429 100000 34.7087783488
390 4.96901271429 86961.6787642 30.8165885725
395 4.96901271429 50958.8056001 26.9847060231
400 4.96901271429 25406.7019007 23.9207261844
0 9.93802542857 100000 28.952546358
5 9.93802542857 100000 33.7920108538
10 9.93802542857 100000 38.8104955826
15 9.93802542857 100000 43.1410264198
20 9.93802542857 100000 46.3752816152
25 9.93802542857 100000 48.7690673558
30 9.93802542857 100000 50.8807856036
35 9.93802542857 100000 52.997273363
40 9.93802542857 100000 54.9295140164
45 9.93802542857 100000 56.2882102251
50 9.93802542857 100000 56.816836295
55 9.93802542857 100000 56.4838985296
60 9.93802542857 100000 55.476864453
65 9.93802542857 100000 54.2276186654
70 9.93802542857 100000 53.2907993413
75 9.93802542857 100000 53.0087799027
80 9.93802542857 100000 53.2892167838
85 9.93802542857 100000 53.7435464126
90 9.93802542857 100000 53.9828527527
95 9.93802542857 100000 53.7935957073
100 9.93802542857 100000 53.2114265229
105 9.93802542857 100000 52.5411606672
110 9.93802542857 100000 52.1685163797
115 9.93802542857 100000 52.1646050053
120 9.93802542857 100000 52.0888001526
125 9.93802542857 100000 51.2912934208
130 9.93802542857 100000 49.3905297679
135 9.93802542857 100000 46.3900405066
140 9.93802542857 100000 42.4532275614
145 9.93802542857 85712.7737648 37.7967772469
150 9.93802542857 40014.8477791 32.8361545881
155 9.93802542857 16015.881822 28.2298641858
160 9.93802542857 5515.2643062 24.6076185094
165 9.93802542857 1672.83998085 22.2448910899
170 9.93802542857 514.01761736 21.0238128935
175 9.93802542857 322.947300266 20.6740591397
