% x_um y_um sigma_s_m k_w_mk
295 29.8140762857 58835.223366 66.7355340331
300 29.8140762857 66937.1348336 73.2825331989
305 29.8140762857 73857.2150649 78.8745172241
310 29.8140762857 79505.3141801 83.4386377213
315 29.8140762857 83727.9690936 86.8508841161
320 29.8140762857 86314.3189706 88.9408638146
325 29.8140762857 87274.4432988 89.7167218576
330 29.8140762857 86823.0732774 89.3519784059
335 29.8140762857 85110.9384114 87.9684350799
340 29.8140762857 82249.7688777 85.6563788911
345 29.8140762857 78615.7146289 82.7197693971
350 29.8140762857 74751.979743 79.5975593883
355 29.8140762857 70749.2857661 76.3630592049
360 29.8140762857 65993.3958142 72.5199158095
365 29.8140762857 59843.8137586 67.5505565726
370 29.8140762857 52448.61491 61.5746383111
375 29.8140762857 44620.1733041 55.2486248922
380 29.8140762857 36986.4228697 49.0799376724
385 29.8140762857 29569.5432402 43.0864995881
390 29.8140762857 22242.6119949 37.1657470666
395 29.8140762857 15324.322031 31.5752097221
400 29.8140762857 9526.24344024 26.8898936891
0 34.783089 22335.0877116 37.2404749185
5 34.783089 32925.7611037 45.7985948313
10 34.783089 42938.730008 53.8898828347
15 34.783089 49920.8772221 59.5320219976
20 34.783089 52382.6292226 61.5213165435
25 34.783089 50504.9451741 60.0039961002
30 34.783089 45956.6167068 56.328579157
35 34.783089 41033.892995 52.3506206021
40 34.783089 37708.3699734 49.6633292714
45 34.783089 37052.0412373 49.132962616
50 34.783089 39094.9975527 50.7838364062
55 34.783089 42941.4267271 53.8920620017
60 34.783089 47074.2718679 57.2317348427
65 34.783089 49872.5631314 59.4929803082
70 34.783089 50230.0648934 59.781870621
75 34.783089 48014.1988302 57.991271782
80 34.783089 44142.4168608 54.8625590794
85 34.783089 40220.2597417 51.6931391853
90 34.783089 37886.8599161 49.8075635686
95 34.783089 38162.8482414 50.0305844375
100 34.783089 41073.1845042 52.3823713165
105 34.783089 45675.222729 56.101190084
110 34.783089 50500.5090905 60.0004113863
115 34.783089 54233.2660781 63.0167806692
120 34.783089 56175.4839229 64.5862496347
125 34.783089 56103.4810728 64.5280655134
130 34.783089 53744.4174148 62.6217514463
135 34.783089 48627.3911871 58.4867807573
140 34.783089 40655.2235206 52.0446250672
145 34.783089 30766.447896 44.0536952695
150 34.783089 20804.1336348 36.003340311
155 34.783089 12577.1881849 29.3553035837
160 34.783089 6975.42474599 24.8286260574
165 34.783089 3845.78494295 22.2996241963
170 34.783089 2530.79451782 21.237005671
175 34.783089 2515.27739872 21.2244665848
180 34.783089 3788.17899487 22.2530739353
185 34.783089 6825.70925717 24.7076438442
190 34.783089 12206.7184286 29.0559340837
195 34.783089 19959.4990336 35.3208072998
200 34.783089 29028.9049232 42.64962014
205 34.783089 37442.2803055 49.4483073176
210 34.783089 43303.8029959 54.1848913098
215 34.783089 45867.1061706 56.2562474106
220 34.783089 45693.0353483 56.1155841198
225 34.783089 43803.5146178 54.5886986811
230 34.783089 40794.2849617 52.1569979488
235 34.783089 36782.2376099 48.9149394828
240 34.783089 32006.2023997 45.0555170906
245 34.783089 27214.3273075 41.1832947939
250 34.783089 23361.972154 38.0702805285
255 34.783089 20972.1547324 36.1391149353
260 34.783089 19858.8644054 35.2394863882
265 34.783089 19548.0372999 34.9883129696
270 34.783089 20023.7664627 35.372740576
275 34.783089 22037.0582979 36.999643069
