x_um,y_um,contact_factor,sigma_s_m,k_w_mk
90.0,14.907038142857143,0.65575868148898,65920.10946740903,72.46069451911839
95.0,14.907038142857143,0.6456000773506924,64914.40765771854,71.64800618805539
100.0,14.907038142857143,0.6282341487948419,63195.180730689346,70.25873190358735
105.0,14.907038142857143,0.6102359027956276,61413.35437676713,68.8188722236502
110.0,14.907038142857143,0.5981129803649305,60213.185056128124,67.84903842919445
115.0,14.907038142857143,0.5931629357227005,59723.13063654735,67.45303485781605
120.0,14.907038142857143,0.5895197025391131,59362.450551372196,67.16157620312904
125.0,14.907038142857143,0.5778834790597491,58210.46442691516,66.23067832477993
130.0,14.907038142857143,0.5507710236608825,55526.331342427366,64.0616818928706
135.0,14.907038142857143,0.5039861404957904,50894.62790908325,60.31889123966323
140.0,14.907038142857143,0.43576569319753206,44140.80362655567,54.861255455802564
145.0,14.907038142857143,0.34845955888068203,35497.49632918752,47.876764710454566
150.0,14.907038142857143,0.25167249827547733,25915.577329272255,40.13379986203819
155.0,14.907038142857143,0.1607453995366265,16913.794554126023,32.85963196293012
160.0,14.907038142857143,0.08942520372517765,9853.095168792588,27.154016298014213
165.0,14.907038142857143,0.04327799167026704,5284.521175356437,23.462239333621362
170.0,14.907038142857143,0.019692284785952405,2949.5361938092883,21.575382782876193
175.0,14.907038142857143,0.013210187134434743,2307.8085263090397,21.05681497075478
180.0,14.907038142857143,0.020816639320912208,3060.8472927703087,21.665331145672976
185.0,14.907038142857143,0.04338976247299828,5295.586484826829,23.471180997839863
190.0,14.907038142857143,0.08288543626057449,9205.658189796874,26.630834900845958
195.0,14.907038142857143,0.1375507650340692,14617.525738372851,31.004061202725538
200.0,14.907038142857143,0.1992053345615752,20721.328121595943,35.93642676492601
205.0,14.907038142857143,0.25561039863521284,26305.42946488607,40.448831890817026
210.0,14.907038142857143,0.2963647604434524,30340.111283901788,43.70918083547619
215.0,14.907038142857143,0.3172133394980531,32404.120610307255,45.377067159844245
220.0,14.907038142857143,0.3200567832014076,32685.621536939354,45.60454265611261
225.0,14.907038142857143,0.31092060584178155,31781.139978336374,44.87364846734252
230.0,14.907038142857143,0.2984697115983668,30548.501448238316,43.87757692786934
235.0,14.907038142857143,0.29228413719694574,29936.12958249763,43.38273097575566
240.0,14.907038142857143,0.2998640144495491,30686.53743050536,43.98912115596393
245.0,14.907038142857143,0.32401279830342505,33077.267032039075,45.921023864274005
250.0,14.907038142857143,0.3617847846953006,36816.69368483476,48.94278277562405
255.0,14.907038142857143,0.40392142853313007,40988.22142477988,52.31371428265041
260.0,14.907038142857143,0.4360987252234731,44173.77379712384,54.887898017877845
265.0,14.907038142857143,0.44602577797121445,45156.55201915023,55.68206223769715
270.0,14.907038142857143,0.4337626415598322,43942.501514423384,54.70101132478658
275.0,14.907038142857143,0.413977849584194,41983.8071088352,53.11822796673552
280.0,14.907038142857143,0.4050931481317604,41104.22166504428,52.40745185054083
285.0,14.907038142857143,0.41601607755935244,42185.591678375895,53.2812862047482
290.0,14.907038142857143,0.4437340230251674,44929.668279491576,55.498721842013396
295.0,14.907038142857143,0.481264022303538,48645.13820805026,58.501121784283036
300.0,14.907038142857143,0.5250491728911013,52979.86811621903,62.00393383128811
305.0,14.907038142857143,0.5749035884244168,57915.455254017266,65.99228707395335
310.0,14.907038142857143,0.6293930498551639,63309.91193566122,70.35144398841311
315.0,14.907038142857143,0.683450611377322,68661.61052635488,74.67604891018576
320.0,14.907038142857143,0.7306629657959892,73335.63361380293,78.45303726367914
325.0,14.907038142857143,0.7664623043225217,76879.76812792965,81.31698434580173
330.0,14.907038142857143,0.7882260143826884,79034.37542388614,83.05808115061507
335.0,14.907038142857143,0.7935686164517214,79563.29302872042,83.48548931613772
340.0,14.907038142857143,0.7808546992231211,78304.61522308899,82.46837593784969
345.0,14.907038142857143,0.7521736721195015,75465.19353983065,80.17389376956012
350.0,14.907038142857143,0.7143669929837376,71722.33230539002,77.14935943869901
355.0,14.907038142857143,0.675423449062071,67866.92145714503,74.03387592496568
360.0,14.907038142857143,0.6396207334149621,64322.45260808124,71.16965867319696
365.0,14.907038142857143,0.6060874151773055,61002.65410255324,68.48699321418444
370.0,14.907038142857143,0.5703070070759785,57460.39370052187,65.62456056607829
375.0,14.907038142857143,0.5254495708108257,53019.50751027174,62.035965664866055
380.0,14.907038142857143,0.46409226736322434,46945.13446895921,57.127381389057945
385.0,14.907038142857143,0.3827886066908263,38896.0720623918,50.623088535266106
390.0,14.907038142857143,0.2871944967127855,29432.255174565766,42.97555973702284
395.0,14.907038142857143,0.19167683309128994,19976.006476037703,35.33414664730319
400.0,14.907038142857143,0.11189396626287049,12077.502660024178,28.95151730102964
0.0,19.876050857142857,0.2043441484769282,21230.070699215892,36.34753187815426
5.0,19.876050857142857,0.3054454821351749,31239.102731382318,44.43563857081399
10.0,19.876050857142857,0.40438351734020234,41033.968216680034,52.350681387216184
15.0,19.876050857142857,0.48418006855491313,48933.8267869364,58.73440548439305
20.0,19.876050857142857,0.538821999840689,54343.37798422821,63.10575998725512
25.0,19.876050857142857,0.5746553708821139,57890.88171732928,65.97242967056911
30.0,19.876050857142857,0.602766900405699,60673.9231401642,68.22135203245593
35.0,19.876050857142857,0.6302726032351949,63396.98772028429,70.42180825881559
40.0,19.876050857142857,0.6577897121947816,66121.18150728337,72.62317697558252
45.0,19.876050857142857,0.6821885893150639,68536.67034219133,74.57508714520512
50.0,19.876050857142857,0.6993994653285842,70240.54706752984,75.95195722628674
55.0,19.876050857142857,0.7059832809701115,70892.34481604105,76.47866247760892
60.0,19.876050857142857,0.7016287637039724,70461.24760669327,76.1303010963178
65.0,19.876050857142857,0.6912838797482351,69437.10409507528,75.30271037985881
70.0,19.876050857142857,0.6826105404589605,68578.4435054371,74.60884323671684
75.0,19.876050857142857,0.6796439978623403,68284.7557883717,74.37151982898723
80.0,19.876050857142857,0.6797017739770191,68290.4756237249,74.37614191816152
85.0,19.876050857142857,0.6770466555013196,68027.61889463064,74.16373244010558
90.0,19.876050857142857,0.6685784647696996,67189.26801220026,73.48627718157597
95.0,19.876050857142857,0.6558912012933604,65933.22892804269,72.47129610346883
100.0,19.876050857142857,0.6435252695951361,64709.00168991848,71.48202156761089
105.0,19.876050857142857,0.6360663350727127,63970.56717219856,70.88530680581701
110.0,19.876050857142857,0.6354367633693183,63908.23957356251,70.83494106954547
115.0,19.876050857142857,0.6390960196590005,64270.50594624105,71.12768157272004
120.0,19.876050857142857,0.6404688760025554,64406.41872425299,71.23751008020443
125.0,19.876050857142857,0.6315108195828589,63519.57113870303,70.52086556662871
130.0,19.876050857142857,0.6049221326377645,60887.291131138685,68.39377061102115
